Abbreviation	Subsystem_new	removed_duplicate_subsystem	evidence
r_2827	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2828	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2829	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2830	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2831	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2832	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2833	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2834	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2835	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2836	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2837	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2838	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2839	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2840	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2841	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2842	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2843	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2844	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2845	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2846	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2847	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2848	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2849	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2850	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2851	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2852	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2853	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2854	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2855	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2856	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2857	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2858	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2859	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system	
r_2860	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2861	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2862	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2863	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2864	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2865	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2866	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2867	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2868	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2869	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2870	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2871	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2872	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2873	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2874	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2875	sce00562  inositol phosphate metabolism 	sce04011 MAPK signaling pathway - yeast   sce04070 Phosphatidylinositol signaling system   sce04139 Mitophagy - yeast   sce04144 Endocytosis	Phospholipid biosynthesis in ito980
r_2876	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04145 Phagosome	Phospholipid biosynthesis in ito980
r_2877	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04145 Phagosome	Phospholipid biosynthesis in ito980
r_2878	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04145 Phagosome	Phospholipid biosynthesis in ito980
r_2879	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04145 Phagosome	Phospholipid biosynthesis in ito980
r_2880	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04145 Phagosome	Phospholipid biosynthesis in ito980
r_2881	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04145 Phagosome	Phospholipid biosynthesis in ito980
r_2882	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04145 Phagosome	Phospholipid biosynthesis in ito980
r_2883	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04145 Phagosome	Phospholipid biosynthesis in ito980
r_2884	sce00561  glycerolipid metabolism 		
r_2885	sce00561  glycerolipid metabolism 		
r_2886	sce00561  glycerolipid metabolism 		
r_2887	sce00561  glycerolipid metabolism 		
r_2888	sce00561  glycerolipid metabolism 		
r_2889	sce00561  glycerolipid metabolism 		
r_2890	sce00561  glycerolipid metabolism 		
r_2891	sce00561  glycerolipid metabolism 		
r_2892	sce00561  glycerolipid metabolism 		
r_2893	sce00561  glycerolipid metabolism 		
r_2894	sce00561  glycerolipid metabolism 		
r_2895	sce00561  glycerolipid metabolism 		
r_2896	sce00561  glycerolipid metabolism 		
r_2897	sce00561  glycerolipid metabolism 		
r_2898	sce00561  glycerolipid metabolism 		
r_2899	sce00561  glycerolipid metabolism 		
r_2900	sce00561  glycerolipid metabolism 		
r_2901	sce00561  glycerolipid metabolism 		
r_2902	sce00561  glycerolipid metabolism 		
r_2903	sce00561  glycerolipid metabolism 		
r_2904	sce00561  glycerolipid metabolism 		
r_2905	sce00561  glycerolipid metabolism 		
r_2906	sce00561  glycerolipid metabolism 		
r_2907	sce00561  glycerolipid metabolism 		
r_2908	sce00561  glycerolipid metabolism 		
r_2909	sce00561  glycerolipid metabolism 		
r_2910	sce00561  glycerolipid metabolism 		
r_2911	sce00561  glycerolipid metabolism 		
r_2912	sce00561  glycerolipid metabolism 		
r_2913	sce00561  glycerolipid metabolism 		
r_2914	sce00561  glycerolipid metabolism 		
r_2915	sce00561  glycerolipid metabolism 		
r_2916	sce00561  glycerolipid metabolism 		
r_2917	sce00561  glycerolipid metabolism 		
r_2918	sce00561  glycerolipid metabolism 		
r_2919	sce00561  glycerolipid metabolism 		
r_2920	sce00561  glycerolipid metabolism 		
r_2921	sce00561  glycerolipid metabolism 		
r_2922	sce00561  glycerolipid metabolism 		
r_2923	sce00561  glycerolipid metabolism 		
r_2924	sce00561  glycerolipid metabolism 		
r_2925	sce00561  glycerolipid metabolism 		
r_2926	sce00561  glycerolipid metabolism 		
r_2927	sce00561  glycerolipid metabolism 		
r_2928	sce00561  glycerolipid metabolism 		
r_2929	sce00561  glycerolipid metabolism 		
r_2930	sce00561  glycerolipid metabolism 		
r_2931	sce00561  glycerolipid metabolism 		
r_2932	sce00561  glycerolipid metabolism 		
r_2933	sce00561  glycerolipid metabolism 		
r_2934	sce00561  glycerolipid metabolism 		
r_2935	sce00561  glycerolipid metabolism 		
r_2936	sce00561  glycerolipid metabolism 		
r_2937	sce00561  glycerolipid metabolism 		
r_2938	sce00561  glycerolipid metabolism 		
r_2939	sce00561  glycerolipid metabolism 		
r_2940	sce00561  glycerolipid metabolism 		
r_2941	sce00561  glycerolipid metabolism 		
r_2942	sce00561  glycerolipid metabolism 		
r_2943	sce00561  glycerolipid metabolism 		
r_2944	sce00561  glycerolipid metabolism 		
r_2945	sce00561  glycerolipid metabolism 		
r_2946	sce00561  glycerolipid metabolism 		
r_2947	sce00561  glycerolipid metabolism 		
r_2948	sce00561  glycerolipid metabolism 		
r_2949	sce00561  glycerolipid metabolism 		
r_2950	sce00561  glycerolipid metabolism 		
r_2951	sce00561  glycerolipid metabolism 		
r_2952	sce00561  glycerolipid metabolism 		
r_2953	sce00561  glycerolipid metabolism 		
r_2954	sce00561  glycerolipid metabolism 		
r_2955	sce00561  glycerolipid metabolism 		
r_2956	sce00561  glycerolipid metabolism 		
r_2957	sce00561  glycerolipid metabolism 		
r_2958	sce00561  glycerolipid metabolism 		
r_2959	sce00561  glycerolipid metabolism 		
r_2960	sce00561  glycerolipid metabolism 		
r_2961	sce00561  glycerolipid metabolism 		
r_2962	sce00561  glycerolipid metabolism 		
r_2963	sce00561  glycerolipid metabolism 		
r_2964	sce00561  glycerolipid metabolism 		
r_2965	sce00561  glycerolipid metabolism 		
r_2966	sce00561  glycerolipid metabolism 		
r_2967	sce00561  glycerolipid metabolism 		
r_2968	sce00561  glycerolipid metabolism 		
r_2969	sce00561  glycerolipid metabolism 		
r_2970	sce00561  glycerolipid metabolism 		
r_2971	sce00561  glycerolipid metabolism 		
r_2972	sce00561  glycerolipid metabolism 		
r_2973	sce00561  glycerolipid metabolism 		
r_2974	sce00561  glycerolipid metabolism 		
r_2975	sce00561  glycerolipid metabolism 		
r_2976	sce00561  glycerolipid metabolism 		
r_2977	sce00561  glycerolipid metabolism 		
r_2978	sce00561  glycerolipid metabolism 		
r_2979	sce00561  glycerolipid metabolism 		
r_2980	sce00561  glycerolipid metabolism 		
r_2981	sce00561  glycerolipid metabolism 		
r_2982	sce00561  glycerolipid metabolism 		
r_2983	sce00561  glycerolipid metabolism 		
r_2984	sce00561  glycerolipid metabolism 		
r_2985	sce00561  glycerolipid metabolism 		
r_2986	sce00561  glycerolipid metabolism 		
r_2987	sce00561  glycerolipid metabolism 		
r_2988	sce00561  glycerolipid metabolism 		
r_2989	sce00561  glycerolipid metabolism 		
r_2990	sce00561  glycerolipid metabolism 		
r_2991	sce00561  glycerolipid metabolism 		
r_2992	sce00561  glycerolipid metabolism 		
r_2993	sce00561  glycerolipid metabolism 		
r_2994	sce00561  glycerolipid metabolism 		
r_2995	sce00561  glycerolipid metabolism 		
r_2996	sce00561  glycerolipid metabolism 		
r_2997	sce00561  glycerolipid metabolism 		
r_2998	sce00561  glycerolipid metabolism 		
r_2999	sce00561  glycerolipid metabolism 		
r_3000	sce00561  glycerolipid metabolism 		
r_3001	sce00561  glycerolipid metabolism 		
r_3002	sce00561  glycerolipid metabolism 		
r_3003	sce00561  glycerolipid metabolism 		
r_3004	sce00561  glycerolipid metabolism 		
r_3005	sce00561  glycerolipid metabolism 		
r_3006	sce00561  glycerolipid metabolism 		
r_3007	sce00561  glycerolipid metabolism 		
r_3008	sce00561  glycerolipid metabolism 		
r_3009	sce00561  glycerolipid metabolism 		
r_3010	sce00561  glycerolipid metabolism 		
r_3011	sce00561  glycerolipid metabolism 		
r_3022	sce00564  glycerophospholipid metabolism 		
r_3023	sce00564  glycerophospholipid metabolism 		
r_3024	sce00564  glycerophospholipid metabolism 		
r_3025	sce00564  glycerophospholipid metabolism 		
r_3026	sce00564  glycerophospholipid metabolism 		
r_3027	sce00564  glycerophospholipid metabolism 		
r_3028	sce00564  glycerophospholipid metabolism 		
r_3029	sce00564  glycerophospholipid metabolism 		
r_3030	sce00564  glycerophospholipid metabolism 		
r_3031	sce00564  glycerophospholipid metabolism 		
r_3032	sce00564  glycerophospholipid metabolism 		
r_3033	sce00564  glycerophospholipid metabolism 		
r_3034	sce00564  glycerophospholipid metabolism 		
r_3035	sce00564  glycerophospholipid metabolism 		
r_3036	sce00564  glycerophospholipid metabolism 		
r_3037	sce00564  glycerophospholipid metabolism 		
r_3038	sce00564  glycerophospholipid metabolism 		
r_3039	sce00564  glycerophospholipid metabolism 		
r_3040	sce00564  glycerophospholipid metabolism 		
r_3041	sce00564  glycerophospholipid metabolism 		
r_3042	sce00564  glycerophospholipid metabolism 		
r_3043	sce00564  glycerophospholipid metabolism 		
r_3044	sce00564  glycerophospholipid metabolism 		
r_3045	sce00564  glycerophospholipid metabolism 		
r_3046	sce00564  glycerophospholipid metabolism 		
r_3047	sce00564  glycerophospholipid metabolism 		
r_3048	sce00564  glycerophospholipid metabolism 		
r_3049	sce00564  glycerophospholipid metabolism 		
r_3050	sce00564  glycerophospholipid metabolism 		
r_3051	sce00564  glycerophospholipid metabolism 		
r_3052	sce00564  glycerophospholipid metabolism 		
r_3053	sce00564  glycerophospholipid metabolism 		
r_3054	sce00564  glycerophospholipid metabolism 		
r_3055	sce00564  glycerophospholipid metabolism 		
r_3056	sce00564  glycerophospholipid metabolism 		
r_3057	sce00564  glycerophospholipid metabolism 		
r_3058	sce00564  glycerophospholipid metabolism 		
r_3059	sce00564  glycerophospholipid metabolism 		
r_3060	sce00564  glycerophospholipid metabolism 		
r_3061	sce00564  glycerophospholipid metabolism 		
r_3062	sce00564  glycerophospholipid metabolism 		
r_3063	sce00564  glycerophospholipid metabolism 		
r_3064	sce00564  glycerophospholipid metabolism 		
r_3065	sce00564  glycerophospholipid metabolism 		
r_3066	sce00564  glycerophospholipid metabolism 		
r_3067	sce00564  glycerophospholipid metabolism 		
r_3068	sce00564  glycerophospholipid metabolism 		
r_3069	sce00564  glycerophospholipid metabolism 		
r_3070	sce00564  glycerophospholipid metabolism 		
r_3071	sce00564  glycerophospholipid metabolism 		
r_3072	sce00564  glycerophospholipid metabolism 		
r_3073	sce00564  glycerophospholipid metabolism 		
r_3074	sce00564  glycerophospholipid metabolism 		
r_3075	sce00564  glycerophospholipid metabolism 		
r_3076	sce00564  glycerophospholipid metabolism 		
r_3077	sce00564  glycerophospholipid metabolism 		
r_3078	sce00564  glycerophospholipid metabolism 		
r_3079	sce00564  glycerophospholipid metabolism 		
r_3080	sce00564  glycerophospholipid metabolism 		
r_3081	sce00564  glycerophospholipid metabolism 		
r_3082	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3083	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3084	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3085	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3086	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3087	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3088	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3089	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3090	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3091	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3092	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3093	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3094	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3095	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3096	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3097	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04933 AGE-RAGE signaling pathway in diabetic complications	Phospholipid biosynthesis in ito980
r_3098	sce00564  glycerophospholipid metabolism 		
r_3099	sce00564  glycerophospholipid metabolism 		
r_3100	sce00564  glycerophospholipid metabolism 		
r_3101	sce00564  glycerophospholipid metabolism 		
r_3102	sce00564  glycerophospholipid metabolism 		
r_3103	sce00564  glycerophospholipid metabolism 		
r_3104	sce00564  glycerophospholipid metabolism 	sce04144 Endocytosis	Glycerol metabolism (glycerolipid metabolism) in ito980
r_3105	sce00564  glycerophospholipid metabolism 	sce04144 Endocytosis	Glycerol metabolism (glycerolipid metabolism) in ito980
r_3106	sce00564  glycerophospholipid metabolism 	sce04144 Endocytosis	Glycerol metabolism (glycerolipid metabolism) in ito980
r_3107	sce00564  glycerophospholipid metabolism 	sce04144 Endocytosis	Glycerol metabolism (glycerolipid metabolism) in ito980
r_3108	sce00564  glycerophospholipid metabolism 	sce04144 Endocytosis	Glycerol metabolism (glycerolipid metabolism) in ito980
r_3109	sce00564  glycerophospholipid metabolism 	sce04144 Endocytosis	Glycerol metabolism (glycerolipid metabolism) in ito980
r_3110	sce00564  glycerophospholipid metabolism 	sce04144 Endocytosis	Glycerol metabolism (glycerolipid metabolism) in ito980
r_3111	sce00564  glycerophospholipid metabolism 	sce04144 Endocytosis	Glycerol metabolism (glycerolipid metabolism) in ito980
r_3112	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3113	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3114	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3115	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3116	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3117	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3118	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3119	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3120	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3121	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3122	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3123	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3124	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3125	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3126	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3127	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3128	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3129	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3130	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3131	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3132	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3133	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3134	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3135	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3136	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3137	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3138	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3139	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3140	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3141	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3142	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3143	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3144	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3145	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3146	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3147	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3148	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3149	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3150	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3151	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3152	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3153	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3154	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3155	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3156	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3157	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3158	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3159	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3160	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3161	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3162	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3163	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3164	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3165	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3166	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3167	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3168	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3169	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3170	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3171	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3172	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3173	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3174	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3175	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3176	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3177	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3178	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3179	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3180	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3181	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3182	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3183	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3184	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3185	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3186	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3187	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3188	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3189	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3190	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3191	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3192	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3193	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3194	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3195	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3196	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3197	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3198	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3199	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3200	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3201	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3202	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3203	sce00562  inositol phosphate metabolism 		signalling system and autophagy
r_3204	sce00562  inositol phosphate metabolism 		signalling system and autophagy
